id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore,season,result_cat,scored,empty,quick_score,explosive
4014038571,401403857,Florida,SEC,Utah,Pac-12,1,False,1,8,92,"{'minutes': 15, 'seconds': 0}",1,68,32,"{'minutes': 12, 'seconds': 47}","{'minutes': 2, 'seconds': 13}",6,64,FUMBLE,True,0,0,0,0,2022,turnover,False,True,False,False
4014038573,401403857,Florida,SEC,Utah,Pac-12,3,False,1,18,82,"{'minutes': 11, 'seconds': 23}",1,42,58,"{'minutes': 9, 'seconds': 24}","{'minutes': 1, 'seconds': 59}",4,24,PUNT,True,0,7,0,7,2022,punt,False,True,False,False
4014038575,401403857,Florida,SEC,Utah,Pac-12,5,True,1,37,63,"{'minutes': 7, 'seconds': 52}",1,100,0,"{'minutes': 0, 'seconds': 39}","{'minutes': 7, 'seconds': 13}",14,63,TD,True,0,7,7,7,2022,touchdown,True,False,False,True
4014038577,401403857,Florida,SEC,Utah,Pac-12,7,False,2,11,89,"{'minutes': 10, 'seconds': 26}",2,9,91,"{'minutes': 7, 'seconds': 58}","{'minutes': 2, 'seconds': 28}",3,-2,PUNT,True,7,10,7,10,2022,punt,False,True,False,False
4014038579,401403857,Florida,SEC,Utah,Pac-12,9,True,2,21,79,"{'minutes': 3, 'seconds': 18}",2,100,0,"{'minutes': 1, 'seconds': 42}","{'minutes': 1, 'seconds': 36}",4,79,TD,True,7,13,14,13,2022,touchdown,True,False,False,True
40140385711,401403857,Florida,SEC,Utah,Pac-12,11,False,2,20,80,"{'minutes': 0, 'seconds': 41}",2,25,75,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 41}",1,5,END OF HALF,True,14,13,14,13,2022,end_of_half,False,False,False,False
40140385713,401403857,Florida,SEC,Utah,Pac-12,13,False,3,1,99,"{'minutes': 9, 'seconds': 2}",3,50,50,"{'minutes': 5, 'seconds': 11}","{'minutes': 3, 'seconds': 51}",8,49,PUNT,True,14,13,14,13,2022,punt,False,True,False,False
40140385715,401403857,Florida,SEC,Utah,Pac-12,15,True,3,25,75,"{'minutes': 0, 'seconds': 12}",4,100,0,"{'minutes': 12, 'seconds': 48}","{'minutes': 2, 'seconds': 24}",8,75,TD,True,14,19,22,19,2022,touchdown,True,False,False,True
40140385717,401403857,Florida,SEC,Utah,Pac-12,17,True,4,25,75,"{'minutes': 6, 'seconds': 26}",4,100,0,"{'minutes': 1, 'seconds': 25}","{'minutes': 5, 'seconds': 1}",14,75,TD,True,22,26,29,26,2022,touchdown,True,False,False,True
40140385719,401403857,Florida,SEC,Utah,Pac-12,19,False,4,20,80,"{'minutes': 0, 'seconds': 17}",4,18,82,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 17}",1,-2,END OF GAME,True,29,26,29,26,2022,end_of_half,False,False,False,False
4014038711,401403871,Florida,SEC,Kentucky,SEC,1,False,1,18,82,"{'minutes': 15, 'seconds': 0}",1,36,64,"{'minutes': 13, 'seconds': 44}","{'minutes': 1, 'seconds': 16}",5,18,PUNT,True,0,0,0,0,2022,punt,False,True,False,False
