season,team,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2022,Alabama,310.0,241.0,9.0,10.0,15.0,26.0,8.0,7.0,9.0,9.0,13.0,1.0,0.0,74.0,18.0,8.0,7.0,0.0,0.0,372.0,593.0,21.0,34.0,3660.0,2442.0,438.0,434.0,280.0,238.0,7.0,8.0,37.0,12.0,103.0,87.0,893.0,663.0,23330.0,23432.0,2.0,0.0,456.0,77.0,30.0,12.0,458.0,467.0,26.0,15.0,2544.0,1695.0,38.0,22.0,84.0,62.0,74.0,60.0,162.0,198.0,6204.0,4137.0,16.0,14.0
2022,Arkansas,311.0,293.0,9.0,12.0,20.0,21.0,11.0,9.0,13.0,21.0,13.0,0.0,0.0,83.0,22.0,7.0,9.0,0.0,0.0,161.0,194.0,9.0,9.0,3041.0,3819.0,356.0,448.0,230.0,274.0,9.0,7.0,26.0,24.0,83.0,93.0,723.0,767.0,23698.0,23961.0,1.0,0.0,162.0,144.0,16.0,10.0,606.0,488.0,27.0,26.0,3085.0,2222.0,39.0,31.0,73.0,80.0,89.0,86.0,194.0,191.0,6126.0,6041.0,18.0,18.0
2022,Auburn,217.0,244.0,13.0,6.0,22.0,12.0,10.0,7.0,12.0,17.0,12.0,1.0,0.0,60.0,81.0,12.0,6.0,0.0,1.0,396.0,694.0,24.0,31.0,2072.0,2661.0,308.0,411.0,159.0,237.0,6.0,12.0,9.0,15.0,90.0,90.0,688.0,694.0,21757.0,21443.0,0.0,0.0,170.0,41.0,20.0,11.0,488.0,448.0,25.0,28.0,2470.0,2082.0,26.0,31.0,62.0,80.0,64.0,76.0,178.0,179.0,4542.0,4743.0,22.0,13.0
2022,Florida,260.0,296.0,15.0,10.0,32.0,23.0,5.0,13.0,17.0,8.0,13.0,2.0,1.0,93.0,125.0,9.0,9.0,0.0,0.0,586.0,449.0,27.0,21.0,2910.0,3065.0,366.0,396.0,199.0,240.0,9.0,9.0,18.0,17.0,89.0,73.0,651.0,577.0,22655.0,24113.0,0.0,0.0,130.0,96.0,18.0,12.0,472.0,506.0,29.0,29.0,2603.0,2278.0,23.0,17.0,70.0,53.0,68.0,87.0,168.0,175.0,5513.0,5343.0,14.0,22.0
2022,Georgia,371.0,232.0,13.0,12.0,15.0,32.0,10.0,7.0,11.0,18.0,15.0,0.0,0.0,122.0,28.0,7.0,12.0,0.0,0.0,437.0,460.0,22.0,23.0,4437.0,3296.0,492.0,511.0,336.0,294.0,12.0,7.0,31.0,15.0,66.0,83.0,673.0,616.0,30211.0,23781.0,0.0,1.0,265.0,110.0,22.0,6.0,557.0,401.0,44.0,7.0,3080.0,1156.0,35.0,9.0,81.0,49.0,93.0,53.0,182.0,199.0,7517.0,4452.0,17.0,19.0
2022,Kentucky,229.0,198.0,16.0,12.0,26.0,29.0,6.0,6.0,10.0,11.0,13.0,1.0,3.0,144.0,251.0,13.0,10.0,1.0,0.0,506.0,334.0,27.0,14.0,2710.0,2220.0,349.0,346.0,224.0,206.0,10.0,13.0,21.0,10.0,74.0,74.0,514.0,644.0,25845.0,20915.0,0.0,0.0,114.0,167.0,23.0,12.0,463.0,433.0,9.0,16.0,1511.0,1828.0,19.0,47.0,52.0,87.0,58.0,57.0,170.0,171.0,4221.0,4048.0,19.0,16.0
2022,LSU,345.0,264.0,11.0,12.0,22.0,30.0,12.0,11.0,19.0,16.0,14.0,2.0,1.0,197.0,114.0,7.0,9.0,0.0,0.0,337.0,686.0,17.0,30.0,3770.0,2885.0,480.0,424.0,322.0,237.0,9.0,7.0,23.0,17.0,84.0,80.0,730.0,770.0,26058.0,24308.0,0.0,0.0,88.0,186.0,17.0,17.0,518.0,505.0,39.0,18.0,2573.0,2072.0,27.0,45.0,67.0,74.0,87.0,78.0,179.0,200.0,6343.0,4957.0,19.0,20.0
2022,Mississippi State,296.0,240.0,15.0,12.0,29.0,26.0,10.0,7.0,11.0,16.0,13.0,3.0,0.0,294.0,73.0,9.0,14.0,1.0,0.0,807.0,596.0,31.0,34.0,4035.0,2703.0,634.0,422.0,427.0,252.0,14.0,9.0,36.0,15.0,82.0,84.0,790.0,643.0,23380.0,23263.0,1.0,1.0,213.0,137.0,21.0,16.0,296.0,447.0,12.0,20.0,1071.0,1757.0,31.0,26.0,83.0,55.0,69.0,61.0,176.0,182.0,5106.0,4460.0,19.0,21.0
2022,Missouri,241.0,241.0,9.0,12.0,18.0,19.0,11.0,7.0,12.0,15.0,13.0,2.0,1.0,99.0,87.0,9.0,11.0,0.0,0.0,229.0,150.0,14.0,11.0,2771.0,2799.0,391.0,394.0,247.0,235.0,11.0,9.0,13.0,18.0,101.0,70.0,828.0,553.0,24245.0,22495.0,1.0,1.0,147.0,204.0,13.0,14.0,493.0,444.0,21.0,19.0,2034.0,1632.0,35.0,23.0,91.0,91.0,77.0,65.0,193.0,186.0,4805.0,4431.0,20.0,18.0
2022,Ole Miss,327.0,277.0,17.0,17.0,35.0,36.0,9.0,12.0,22.0,15.0,13.0,0.0,0.0,34.0,28.0,11.0,8.0,0.0,1.0,447.0,536.0,26.0,24.0,3118.0,2858.0,386.0,432.0,239.0,274.0,8.0,11.0,22.0,22.0,88.0,77.0,821.0,612.0,20590.0,26164.0,0.0,0.0,111.0,71.0,17.0,11.0,614.0,515.0,33.0,18.0,3335.0,2186.0,33.0,14.0,74.0,79.0,88.0,76.0,187.0,197.0,6453.0,5044.0,20.0,20.0
2022,South Carolina,246.0,292.0,13.0,10.0,21.0,17.0,13.0,8.0,11.0,18.0,13.0,2.0,1.0,299.0,81.0,14.0,15.0,1.0,0.0,578.0,328.0,23.0,20.0,3379.0,2688.0,419.0,404.0,281.0,217.0,15.0,14.0,23.0,24.0,88.0,84.0,814.0,703.0,22366.0,24391.0,2.0,0.0,278.0,94.0,19.0,19.0,410.0,521.0,27.0,23.0,1555.0,2574.0,20.0,28.0,56.0,94.0,62.0,79.0,159.0,181.0,4934.0,5262.0,27.0,23.0
2022,Tennessee,330.0,307.0,23.0,14.0,34.0,33.0,8.0,11.0,13.0,11.0,13.0,0.0,0.0,70.0,18.0,3.0,11.0,0.0,0.0,340.0,719.0,18.0,41.0,4239.0,3760.0,422.0,531.0,290.0,332.0,11.0,3.0,38.0,20.0,105.0,111.0,904.0,876.0,19684.0,27116.0,1.0,0.0,331.0,29.0,20.0,4.0,523.0,460.0,40.0,16.0,2593.0,1509.0,31.0,27.0,91.0,52.0,68.0,65.0,166.0,189.0,6832.0,5269.0,11.0,22.0
2022,Texas A&M,233.0,249.0,4.0,11.0,11.0,22.0,12.0,12.0,19.0,15.0,12.0,0.0,1.0,13.0,154.0,6.0,4.0,1.0,1.0,510.0,200.0,23.0,7.0,2633.0,1874.0,391.0,327.0,220.0,184.0,4.0,6.0,18.0,15.0,76.0,84.0,589.0,725.0,20049.0,23137.0,0.0,0.0,121.0,58.0,22.0,13.0,367.0,520.0,12.0,13.0,1707.0,2508.0,19.0,25.0,66.0,65.0,55.0,62.0,153.0,174.0,4340.0,4382.0,18.0,16.0
2022,Vanderbilt,210.0,255.0,11.0,12.0,29.0,27.0,10.0,10.0,16.0,14.0,12.0,0.0,1.0,41.0,36.0,6.0,6.0,0.0,0.0,511.0,448.0,24.0,24.0,2248.0,3486.0,346.0,399.0,200.0,257.0,6.0,6.0,22.0,29.0,63.0,72.0,553.0,657.0,22752.0,20444.0,0.0,1.0,42.0,379.0,9.0,26.0,445.0,397.0,13.0,25.0,1919.0,2050.0,17.0,15.0,56.0,58.0,63.0,60.0,171.0,151.0,4167.0,5536.0,16.0,16.0
2023,Alabama,277.0,228.0,5.0,11.0,7.0,27.0,5.0,7.0,7.0,5.0,14.0,1.0,0.0,125.0,63.0,6.0,12.0,0.0,0.0,533.0,407.0,25.0,27.0,3086.0,2675.0,325.0,413.0,208.0,245.0,12.0,6.0,23.0,17.0,78.0,72.0,655.0,549.0,25815.0,24585.0,1.0,0.0,178.0,120.0,21.0,14.0,561.0,470.0,32.0,15.0,2417.0,1749.0,40.0,49.0,84.0,88.0,82.0,63.0,182.0,191.0,5503.0,4424.0,11.0,19.0
2023,Arkansas,208.0,226.0,10.0,6.0,16.0,12.0,10.0,5.0,6.0,11.0,12.0,4.0,1.0,235.0,64.0,8.0,12.0,0.0,0.0,475.0,209.0,24.0,9.0,2250.0,2433.0,323.0,318.0,207.0,192.0,12.0,8.0,22.0,23.0,76.0,65.0,665.0,515.0,22123.0,21077.0,1.0,2.0,180.0,345.0,16.0,19.0,472.0,437.0,9.0,13.0,1668.0,1853.0,29.0,47.0,75.0,93.0,67.0,59.0,175.0,158.0,3918.0,4286.0,18.0,17.0
