id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore,season
4014038571,401403857,Florida,SEC,Utah,Pac-12,1,False,1,8,92,"{'minutes': 15, 'seconds': 0}",1,68,32,"{'minutes': 12, 'seconds': 47}","{'minutes': 2, 'seconds': 13}",6,64,FUMBLE,True,0,0,0,0,2022
4014038572,401403857,Utah,Pac-12,Florida,SEC,2,True,1,25,25,"{'minutes': 12, 'seconds': 47}",1,0,0,"{'minutes': 11, 'seconds': 23}","{'minutes': 1, 'seconds': 24}",5,25,TD,False,0,0,7,0,2022
4014038573,401403857,Florida,SEC,Utah,Pac-12,3,False,1,18,82,"{'minutes': 11, 'seconds': 23}",1,42,58,"{'minutes': 9, 'seconds': 24}","{'minutes': 1, 'seconds': 59}",4,24,PUNT,True,0,7,0,7,2022
4014038574,401403857,Utah,Pac-12,Florida,SEC,4,False,1,84,84,"{'minutes': 9, 'seconds': 24}",1,82,82,"{'minutes': 7, 'seconds': 52}","{'minutes': 1, 'seconds': 32}",3,2,PUNT,False,7,0,7,0,2022
4014038575,401403857,Florida,SEC,Utah,Pac-12,5,True,1,37,63,"{'minutes': 7, 'seconds': 52}",1,100,0,"{'minutes': 0, 'seconds': 39}","{'minutes': 7, 'seconds': 13}",14,63,TD,True,0,7,7,7,2022
4014038576,401403857,Utah,Pac-12,Florida,SEC,6,True,1,75,75,"{'minutes': 0, 'seconds': 39}",2,25,25,"{'minutes': 10, 'seconds': 26}","{'minutes': 5, 'seconds': 13}",11,50,FG,False,7,7,10,7,2022
4014038577,401403857,Florida,SEC,Utah,Pac-12,7,False,2,11,89,"{'minutes': 10, 'seconds': 26}",2,9,91,"{'minutes': 7, 'seconds': 58}","{'minutes': 2, 'seconds': 28}",3,-2,PUNT,True,7,10,7,10,2022
4014038578,401403857,Utah,Pac-12,Florida,SEC,8,True,2,38,38,"{'minutes': 7, 'seconds': 58}",2,13,13,"{'minutes': 3, 'seconds': 18}","{'minutes': 4, 'seconds': 40}",8,25,FG,False,10,7,13,7,2022
4014038579,401403857,Florida,SEC,Utah,Pac-12,9,True,2,21,79,"{'minutes': 3, 'seconds': 18}",2,100,0,"{'minutes': 1, 'seconds': 42}","{'minutes': 1, 'seconds': 36}",4,79,TD,True,7,13,14,13,2022
40140385710,401403857,Utah,Pac-12,Florida,SEC,10,False,2,75,75,"{'minutes': 1, 'seconds': 42}",2,48,48,"{'minutes': 0, 'seconds': 41}","{'minutes': 1, 'seconds': 1}",5,27,PUNT,False,13,14,13,14,2022
40140385711,401403857,Florida,SEC,Utah,Pac-12,11,False,2,20,80,"{'minutes': 0, 'seconds': 41}",2,25,75,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 41}",1,5,END OF HALF,True,14,13,14,13,2022
40140385712,401403857,Utah,Pac-12,Florida,SEC,12,False,3,72,72,"{'minutes': 15, 'seconds': 0}",3,1,1,"{'minutes': 9, 'seconds': 2}","{'minutes': 5, 'seconds': 58}",11,71,DOWNS,False,13,14,13,14,2022
40140385713,401403857,Florida,SEC,Utah,Pac-12,13,False,3,1,99,"{'minutes': 9, 'seconds': 2}",3,50,50,"{'minutes': 5, 'seconds': 11}","{'minutes': 3, 'seconds': 51}",8,49,PUNT,True,14,13,14,13,2022
40140385714,401403857,Utah,Pac-12,Florida,SEC,14,True,3,89,89,"{'minutes': 5, 'seconds': 11}",3,0,0,"{'minutes': 0, 'seconds': 12}","{'minutes': 4, 'seconds': 59}",9,89,TD,False,13,14,19,14,2022
40140385715,401403857,Florida,SEC,Utah,Pac-12,15,True,3,25,75,"{'minutes': 0, 'seconds': 12}",4,100,0,"{'minutes': 12, 'seconds': 48}","{'minutes': 2, 'seconds': 24}",8,75,TD,True,14,19,22,19,2022
40140385716,401403857,Utah,Pac-12,Florida,SEC,16,True,4,73,73,"{'minutes': 12, 'seconds': 48}",4,0,0,"{'minutes': 6, 'seconds': 26}","{'minutes': 6, 'seconds': 22}",11,73,TD,False,19,22,26,22,2022
40140385717,401403857,Florida,SEC,Utah,Pac-12,17,True,4,25,75,"{'minutes': 6, 'seconds': 26}",4,100,0,"{'minutes': 1, 'seconds': 25}","{'minutes': 5, 'seconds': 1}",14,75,TD,True,22,26,29,26,2022
40140385718,401403857,Utah,Pac-12,Florida,SEC,18,False,4,75,75,"{'minutes': 1, 'seconds': 25}",4,6,6,"{'minutes': 0, 'seconds': 17}","{'minutes': 1, 'seconds': 8}",10,69,INT,False,26,29,26,29,2022
40140385719,401403857,Florida,SEC,Utah,Pac-12,19,False,4,20,80,"{'minutes': 0, 'seconds': 17}",4,18,82,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 17}",1,-2,END OF GAME,True,29,26,29,26,2022
4014038711,401403871,Florida,SEC,Kentucky,SEC,1,False,1,18,82,"{'minutes': 15, 'seconds': 0}",1,36,64,"{'minutes': 13, 'seconds': 44}","{'minutes': 1, 'seconds': 16}",5,18,PUNT,True,0,0,0,0,2022
4014038712,401403871,Kentucky,SEC,Florida,SEC,2,False,1,84,84,"{'minutes': 13, 'seconds': 44}",1,86,86,"{'minutes': 11, 'seconds': 42}","{'minutes': 2, 'seconds': 2}",3,-2,PUNT,False,0,0,0,0,2022
4014038713,401403871,Florida,SEC,Kentucky,SEC,3,True,1,48,52,"{'minutes': 11, 'seconds': 42}",1,78,22,"{'minutes': 10, 'seconds': 3}","{'minutes': 1, 'seconds': 39}",5,30,FG,True,0,0,3,0,2022
4014038714,401403871,Kentucky,SEC,Florida,SEC,4,False,1,75,75,"{'minutes': 10, 'seconds': 3}",1,42,42,"{'minutes': 4, 'seconds': 33}","{'minutes': 5, 'seconds': 30}",8,33,PUNT,False,0,3,0,3,2022
4014038715,401403871,Florida,SEC,Kentucky,SEC,5,False,1,10,90,"{'minutes': 4, 'seconds': 33}",1,46,54,"{'minutes': 2, 'seconds': 47}","{'minutes': 1, 'seconds': 46}",5,36,PUNT,True,3,0,3,0,2022
4014038716,401403871,Kentucky,SEC,Florida,SEC,6,False,1,91,91,"{'minutes': 2, 'seconds': 47}",2,60,60,"{'minutes': 14, 'seconds': 44}","{'minutes': 3, 'seconds': 3}",6,31,PUNT,False,0,3,0,3,2022
4014038717,401403871,Florida,SEC,Kentucky,SEC,7,False,2,25,75,"{'minutes': 14, 'seconds': 44}",2,28,72,"{'minutes': 12, 'seconds': 25}","{'minutes': 2, 'seconds': 19}",6,3,PUNT,True,3,0,3,0,2022
4014038718,401403871,Kentucky,SEC,Florida,SEC,8,True,2,67,67,"{'minutes': 12, 'seconds': 25}",2,0,0,"{'minutes': 11, 'seconds': 36}","{'minutes': 0, 'seconds': 49}",2,67,TD,False,0,3,7,3,2022
4014038719,401403871,Florida,SEC,Kentucky,SEC,9,True,2,25,75,"{'minutes': 11, 'seconds': 36}",2,67,33,"{'minutes': 10, 'seconds': 1}","{'minutes': 1, 'seconds': 35}",5,42,FG,True,3,7,6,7,2022
40140387110,401403871,Kentucky,SEC,Florida,SEC,10,False,2,75,75,"{'minutes': 10, 'seconds': 1}",2,59,59,"{'minutes': 8, 'seconds': 31}","{'minutes': 1, 'seconds': 30}",5,16,INT,False,7,6,7,6,2022
40140387111,401403871,Florida,SEC,Kentucky,SEC,11,True,2,66,34,"{'minutes': 8, 'seconds': 31}",2,100,0,"{'minutes': 5, 'seconds': 49}","{'minutes': 2, 'seconds': 42}",5,34,TD,True,6,7,14,7,2022
40140387112,401403871,Kentucky,SEC,Florida,SEC,12,True,2,65,65,"{'minutes': 5, 'seconds': 49}",2,61,61,"{'minutes': 4, 'seconds': 12}","{'minutes': 1, 'seconds': 37}",4,-35,SF,False,7,14,7,16,2022
40140387113,401403871,Florida,SEC,Kentucky,SEC,13,False,2,20,80,"{'minutes': 4, 'seconds': 12}",2,27,73,"{'minutes': 2, 'seconds': 47}","{'minutes': 1, 'seconds': 25}",3,7,INT,True,16,7,16,7,2022
