season,team,conference,statName,statValue
2022,Alabama,SEC,firstDowns,310
2022,Alabama,SEC,firstDownsOpponent,241
2022,Alabama,SEC,fourthDownConversions,9
2022,Alabama,SEC,fourthDownConversionsOpponent,10
2022,Alabama,SEC,fourthDowns,15
2022,Alabama,SEC,fourthDownsOpponent,26
2022,Alabama,SEC,fumblesLost,8
2022,Alabama,SEC,fumblesLostOpponent,7
2022,Alabama,SEC,fumblesRecovered,9
2022,Alabama,SEC,fumblesRecoveredOpponent,9
2022,Alabama,SEC,games,13
2022,Alabama,SEC,interceptions,8
2022,Alabama,SEC,interceptionsOpponent,7
2022,Alabama,SEC,interceptionTDs,1
2022,Alabama,SEC,interceptionTDsOpponent,0
2022,Alabama,SEC,interceptionYards,74
2022,Alabama,SEC,interceptionYardsOpponent,18
2022,Alabama,SEC,kickReturns,21
2022,Alabama,SEC,kickReturnsOpponent,34
2022,Alabama,SEC,kickReturnTDs,0
2022,Alabama,SEC,kickReturnTDsOpponent,0
2022,Alabama,SEC,kickReturnYards,372
2022,Alabama,SEC,kickReturnYardsOpponent,593
2022,Alabama,SEC,netPassingYards,3660
2022,Alabama,SEC,netPassingYardsOpponent,2442
2022,Alabama,SEC,passAttempts,438
2022,Alabama,SEC,passAttemptsOpponent,434
2022,Alabama,SEC,passCompletions,280
2022,Alabama,SEC,passCompletionsOpponent,238
2022,Alabama,SEC,passesIntercepted,7
2022,Alabama,SEC,passesInterceptedOpponent,8
2022,Alabama,SEC,passingTDs,37
2022,Alabama,SEC,passingTDsOpponent,12
2022,Alabama,SEC,penalties,103
2022,Alabama,SEC,penaltiesOpponent,87
2022,Alabama,SEC,penaltyYards,893
2022,Alabama,SEC,penaltyYardsOpponent,663
2022,Alabama,SEC,possessionTime,23330
2022,Alabama,SEC,possessionTimeOpponent,23432
2022,Alabama,SEC,puntReturns,30
2022,Alabama,SEC,puntReturnsOpponent,12
2022,Alabama,SEC,puntReturnTDs,2
2022,Alabama,SEC,puntReturnTDsOpponent,0
2022,Alabama,SEC,puntReturnYards,456
2022,Alabama,SEC,puntReturnYardsOpponent,77
2022,Alabama,SEC,rushingAttempts,458
2022,Alabama,SEC,rushingAttemptsOpponent,467
2022,Alabama,SEC,rushingTDs,26
2022,Alabama,SEC,rushingTDsOpponent,15
2022,Alabama,SEC,rushingYards,2544
2022,Alabama,SEC,rushingYardsOpponent,1695
2022,Alabama,SEC,sacks,38
2022,Alabama,SEC,sacksOpponent,22
2022,Alabama,SEC,tacklesForLoss,84
2022,Alabama,SEC,tacklesForLossOpponent,62
2022,Alabama,SEC,thirdDownConversions,74
2022,Alabama,SEC,thirdDownConversionsOpponent,60
2022,Alabama,SEC,thirdDowns,162
2022,Alabama,SEC,thirdDownsOpponent,198
2022,Alabama,SEC,totalYards,6204
2022,Alabama,SEC,totalYardsOpponent,4137
2022,Alabama,SEC,turnovers,16
2022,Alabama,SEC,turnoversOpponent,14
2022,Arkansas,SEC,firstDowns,311
2022,Arkansas,SEC,firstDownsOpponent,293
2022,Arkansas,SEC,fourthDownConversions,9
2022,Arkansas,SEC,fourthDownConversionsOpponent,12
2022,Arkansas,SEC,fourthDowns,20
2022,Arkansas,SEC,fourthDownsOpponent,21
2022,Arkansas,SEC,fumblesLost,11
2022,Arkansas,SEC,fumblesLostOpponent,9
2022,Arkansas,SEC,fumblesRecovered,13
2022,Arkansas,SEC,fumblesRecoveredOpponent,21
2022,Arkansas,SEC,games,13
2022,Arkansas,SEC,interceptions,7
2022,Arkansas,SEC,interceptionsOpponent,9
2022,Arkansas,SEC,interceptionTDs,0
2022,Arkansas,SEC,interceptionTDsOpponent,0
2022,Arkansas,SEC,interceptionYards,83
2022,Arkansas,SEC,interceptionYardsOpponent,22
2022,Arkansas,SEC,kickReturns,9
2022,Arkansas,SEC,kickReturnsOpponent,9
2022,Arkansas,SEC,kickReturnTDs,0
2022,Arkansas,SEC,kickReturnTDsOpponent,0
2022,Arkansas,SEC,kickReturnYards,161
2022,Arkansas,SEC,kickReturnYardsOpponent,194
2022,Arkansas,SEC,netPassingYards,3041
2022,Arkansas,SEC,netPassingYardsOpponent,3819
2022,Arkansas,SEC,passAttempts,356
2022,Arkansas,SEC,passAttemptsOpponent,448
2022,Arkansas,SEC,passCompletions,230
2022,Arkansas,SEC,passCompletionsOpponent,274
2022,Arkansas,SEC,passesIntercepted,9
2022,Arkansas,SEC,passesInterceptedOpponent,7
2022,Arkansas,SEC,passingTDs,26
2022,Arkansas,SEC,passingTDsOpponent,24
2022,Arkansas,SEC,penalties,83
2022,Arkansas,SEC,penaltiesOpponent,93
2022,Arkansas,SEC,penaltyYards,723
2022,Arkansas,SEC,penaltyYardsOpponent,767
2022,Arkansas,SEC,possessionTime,23698
2022,Arkansas,SEC,possessionTimeOpponent,23961
2022,Arkansas,SEC,puntReturns,16
2022,Arkansas,SEC,puntReturnsOpponent,10
2022,Arkansas,SEC,puntReturnTDs,1
2022,Arkansas,SEC,puntReturnTDsOpponent,0
2022,Arkansas,SEC,puntReturnYards,162
2022,Arkansas,SEC,puntReturnYardsOpponent,144
2022,Arkansas,SEC,rushingAttempts,606
2022,Arkansas,SEC,rushingAttemptsOpponent,488
2022,Arkansas,SEC,rushingTDs,27
2022,Arkansas,SEC,rushingTDsOpponent,26
2022,Arkansas,SEC,rushingYards,3085
2022,Arkansas,SEC,rushingYardsOpponent,2222
2022,Arkansas,SEC,sacks,39
2022,Arkansas,SEC,sacksOpponent,31
2022,Arkansas,SEC,tacklesForLoss,73
2022,Arkansas,SEC,tacklesForLossOpponent,80
2022,Arkansas,SEC,thirdDownConversions,89
2022,Arkansas,SEC,thirdDownConversionsOpponent,86
2022,Arkansas,SEC,thirdDowns,194
2022,Arkansas,SEC,thirdDownsOpponent,191
2022,Arkansas,SEC,totalYards,6126
2022,Arkansas,SEC,totalYardsOpponent,6041
2022,Arkansas,SEC,turnovers,18
2022,Arkansas,SEC,turnoversOpponent,18
2022,Auburn,SEC,firstDowns,217
2022,Auburn,SEC,firstDownsOpponent,244
2022,Auburn,SEC,fourthDownConversions,13
2022,Auburn,SEC,fourthDownConversionsOpponent,6
2022,Auburn,SEC,fourthDowns,22
