game_id,season,team,home_away,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,passesDeflected,qbHurries,sacks,tackles,defensiveTDs,tacklesForLoss,totalFumbles,fumblesRecovered,kickingPoints,passingTDs,puntReturns,puntReturnTDs,puntReturnYards,rushingTDs,kickReturns,kickReturnTDs,kickReturnYards,passesIntercepted,interceptionTDs,interceptionYards
401403937,2022,,away,28,4-12,1-2,492,201,17-28,7.2,291,50,5.8,10-39,0,0,0,37:07,4,3,2,35,0,6,0,2,11,2,2,0,35,3,,,,,,
401403937,2022,,home,23,4-13,0-1,413,279,23-45,6.2,134,25,5.4,5-39,2,2,0,22:53,5,1,1,41,0,8,2,0,6,1,,,,2,1,0,19,,,
401403883,2022,,home,17,3-8,0-0,329,112,10-18,6.2,217,30,7.2,6-48,2,0,2,23:41,2,5,0,40,1,4,0,1,7,0,,,,3,,,,2,1,39
401403883,2022,,away,23,8-15,2-2,402,116,12-28,4.1,286,46,6.2,9-73,3,1,2,36:19,0,3,1,20,0,4,2,0,8,0,1,0,20,3,4,0,93,2,0,37
401403901,2022,,home,27,6-9,0-2,576,349,22-28,12.5,227,42,5.4,6-50,2,2,0,25:03,1,13,1,47,0,4,2,1,8,2,,,,3,2,0,61,1,0,5
401403901,2022,,away,31,7-15,5-6,594,453,24-45,10.1,141,42,3.4,10-47,2,1,1,34:57,1,2,3,43,0,5,1,2,3,2,,,,3,3,0,44,,,
401403857,2022,,away,25,8-13,0-1,446,216,22-32,6.8,230,39,5.9,3-15,1,0,1,32:17,0,4,0,32,0,2,0,2,8,1,1,0,10,2,2,0,35,,,
401403857,2022,,home,23,7-12,2-2,451,168,17-24,7.0,283,39,7.3,7-38,1,1,0,27:43,2,5,0,36,0,2,2,0,3,0,,,,4,5,0,81,1,0,0
401403955,2022,,home,18,7-14,0-1,283,108,10-16,6.8,175,46,3.8,4-35,2,1,1,33:26,3,5,0,21,0,2,1,2,7,3,,,,0,2,0,62,1,0,0
401403955,2022,,away,20,4-15,3-4,445,400,25-43,9.3,45,21,2.1,7-80,2,1,1,26:34,3,1,1,28,0,5,2,1,6,3,1,0,-5,0,2,0,41,1,0,0
